hair_id,base_x,base_y,tip_x,tip_y,length_px
1,1578.6,986.7,1453.2,1017.5,129.13
2,1588.3,1004.2,1478.9,1048.1,117.88
3,1583.8,1107.5,1511.0,1106.8,72.8
4,1701.0,294.1,1649.0,294.1,51.98
5,1677.4,386.1,1613.5,356.5,70.44
6,1750.3,400.1,1796.6,406.4,46.73
7,1658.8,457.9,1565.5,427.6,98.03
8,1649.0,501.3,1594.3,476.4,60.08
9,1707.1,524.7,1795.5,569.2,98.9
10,1619.2,559.9,1582.1,529.6,47.88
11,1616.3,577.0,1481.6,539.4,139.88
12,1605.1,615.5,1467.9,573.6,143.46
13,1596.8,650.2,1465.5,643.4,131.5
14,1677.3,663.9,1720.3,673.6,44.06
15,1579.2,724.4,1411.3,725.4,167.94
16,1646.1,773.2,1715.4,776.6,69.41
17,1570.4,852.8,1400.0,864.0,170.74
18,1644.1,860.1,1669.0,868.9,26.4
19,1568.5,888.4,1436.2,913.3,134.62
20,1565.0,980.7,1402.5,969.0,162.98
21,1575.8,990.0,1454.2,1019.3,125.04
22,1645.1,1011.9,1738.3,1004.6,93.53
23,1651.0,1049.0,1706.1,1040.7,55.78
24,1652.4,1095.9,1708.6,1093.0,56.22
25,1594.8,1084.7,1494.7,1075.9,100.46
26,1581.2,1109.1,1510.4,1107.6,70.8
27,1659.0,1171.3,1720.5,1167.0,61.66
28,1591.1,1220.1,1447.4,1231.2,144.14
29,1679.1,1284.2,1729.0,1275.2,50.65
30,1689.2,1318.2,1785.2,1295.9,98.53
31,1604.9,1289.0,1502.5,1313.4,105.21
32,1617.1,1318.2,1513.7,1341.5,106.0
33,1720.5,1425.3,1774.0,1409.4,55.87
34,1646.3,1444.9,1508.9,1462.9,138.52
35,1653.1,1470.9,1537.5,1514.9,123.7
36,1683.4,1542.5,1597.5,1570.6,90.39
37,1700.3,1584.9,1574.1,1648.5,141.34
38,1711.5,1607.2,1650.5,1640.6,69.53
39,1722.6,1631.6,1680.2,1651.2,46.74
40,1734.3,1663.9,1670.1,1701.0,74.13
41,1752.8,1700.5,1692.9,1717.5,62.28
42,1805.3,1646.9,1867.9,1607.2,74.14
43,1838.2,1719.6,1937.4,1698.4,101.4
44,1783.6,1769.4,1748.6,1785.3,38.44
45,1759.7,1721.2,1633.5,1780.0,139.26
46,1811.2,1855.3,1736.9,1863.3,74.66
47,1879.6,1825.1,2015.3,1805.0,137.24
48,1828.7,1903.6,1806.4,1909.4,23.02
49,1713.1,1408.2,1740.2,1407.8,27.19
50,1629.5,1381.3,1557.9,1415.1,79.19
