hair_id,base_x,base_y,tip_x,tip_y,length_px
1,1388.1,993.7,1237.8,959.3,154.19
2,1451.7,1011.5,1509.6,1045.8,67.3
3,1368.5,1077.1,1243.0,1042.5,130.18
4,1356.2,1113.3,1265.4,1083.3,95.63
5,1415.1,1129.9,1511.5,1179.6,108.46
6,1352.6,1148.9,1234.1,1137.3,119.07
7,1333.2,1238.5,1237.2,1234.8,96.07
8,1397.3,1308.5,1464.5,1318.9,68.0
9,1340.6,1372.6,1286.3,1386.4,56.03
10,1397.3,1401.1,1512.4,1397.2,115.17
11,1278.5,1802.5,1198.4,1783.0,82.44
12,1266.0,1880.1,1220.5,1876.8,45.62
13,1358.9,1733.5,1470.0,1767.5,116.19
14,1375.3,1659.7,1483.1,1676.4,109.09
15,1388.1,1583.5,1471.2,1587.1,83.18
16,1393.8,1550.3,1476.9,1558.7,83.52
17,1330.2,1536.9,1300.0,1537.2,30.2
18,1335.9,1515.4,1277.0,1516.6,58.91
19,1332.9,1457.7,1267.7,1464.9,65.6
20,1395.9,1484.9,1441.9,1470.9,48.08
21,1397.1,1491.8,1487.6,1490.0,90.52
22,1304.5,1712.2,1262.7,1702.1,43.0
23,1320.6,1630.1,1263.6,1624.7,57.26
24,1422.0,913.2,1323.5,847.8,118.23
25,1468.5,849.2,1356.2,785.2,129.26
26,1513.3,898.6,1553.8,930.2,51.37
27,1519.0,774.9,1437.2,715.6,101.03
28,1588.3,697.8,1551.7,664.1,49.75
29,1616.0,664.8,1600.0,643.8,26.4
30,1871.6,491.0,1950.8,541.1,93.72
31,1936.9,266.1,1905.7,260.7,31.66
32,2025.7,63.6,1860.9,8.7,173.7
33,1992.2,282.4,2089.5,387.9,143.52
34,1677.5,702.5,1732.4,758.8,78.63
35,1730.5,657.3,1779.9,720.0,79.84
36,1577.4,709.8,1526.6,662.3,69.52
37,1753.6,518.4,1703.3,500.4,53.41
38,1327.1,1303.9,1221.9,1295.5,105.54
39,1343.2,1210.5,1197.0,1194.8,146.99
